,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI1615_SECTORNone,0.5020438288763822,1.9918579663414784,0.0003383932257762,-0.217331347983627,1791.0917975451985,1.0000227015743963,1.264632451505367e-05,0.0059478881526017,0.0118473483996678,8.942301821680126e-06,0.0014691569764036,0.0058288775978088,0.045336784828157
TOI0719_SECTORNone,0.4868062845992779,2.0542051975010254,0.0002146704198259,-0.1906910975063185,1518.3518843449554,0.999987161652839,8.660420007363995e-06,0.0064207665617906,0.0131895720431711,6.1238417151307314e-06,0.0011172431593187,0.0047144968693947,0.0453298302484917
TOI1073_SECTORNone,0.1612244627019818,6.202532687911435,0.0051308992183272,0.4180835748655527,1653.635256984942,1.000052602511203,0.0001725121158845,0.0053511392093215,0.0331906158633813,0.0001219844869788,0.0008808920648551,0.0338891613296015,0.0452907690586409
TOI1383_SECTORNone,1.1555207745430167,0.8654106633396342,0.0005845297891436,-0.3442547703308304,1764.986375248295,0.9999782304710474,2.376479251503777e-05,0.0064706440468371,0.0055997643568079,1.680424594087452e-05,0.0012737477837289,0.0009539550813184,0.0452827053479957
TOI0529_SECTORNone,0.5960409107919881,1.677737185307049,0.0065801098272805,-0.3235870705313051,1468.820414869512,0.9992174378121204,0.0002513470153559,0.0060794000366741,0.0101996355058852,0.0001777291789891,0.0013453102367745,0.0037867820297968,0.0449878369378615
TOI1977_SECTORNone,0.1824092946146389,5.482176783330134,0.0003013798128402,0.3184690420553718,2332.1131639240307,1.000014012348045,1.003406982209942e-05,0.0052988678852308,0.029049330498346,7.095158814105793e-06,0.0011298321502263,0.0339562717794422,0.0449553439323275
TOI0697_SECTORNone,0.1544355497121624,6.475193061855276,0.0002275775600853,-0.2350635978969596,1412.4273038517342,0.9999982512888722,8.284029798829368e-06,0.0057933844211604,0.0375132826085584,5.857693646303677e-06,0.0011062992594422,0.0463850538456153,0.0449459971338412
TOI0920_SECTORNone,0.4202704134604134,2.37942041117342,0.0006263661141538,-0.3548628772836099,2037.1237618639384,1.0000235457463569,2.368813642222548e-05,0.0060189782286121,0.014321679651568,1.675004189782768e-05,0.0010874829738264,0.0061569387276648,0.0445996455005645
TOI0951_SECTORNone,0.3000234022798186,3.333073328284385,0.0004934137650364,0.127832027220016,2173.808059481208,1.0000893638146042,1.8240804663000864e-05,0.005883731735526,0.0196109093184622,1.289819667150711e-05,0.0010493776827794,0.0116579331451846,0.0444633756413156
TOI0953_SECTORNone,0.3000234022798186,3.333073328284385,0.0004934137650364,0.127832027220016,2173.808059481208,1.0000893638146042,1.8240804663000864e-05,0.005883731735526,0.0196109093184622,1.289819667150711e-05,0.0010493776827794,0.0116579331451846,0.0444633756413156
